accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,deviceID
1883,-759,202,-5,-9,-6,10003
1882,-760,211,-2,-7,-2,10003
1878,-769,224,-10,-6,-14,10003
1877,-761,215,-15,6,-5,10003
1878,-756,210,-17,-3,4,10003
1885,-758,209,-15,-3,13,10003
1877,-753,201,-12,-5,9,10003
1884,-745,203,-17,-7,11,10003
1888,-753,200,-10,-5,8,10003
1890,-744,203,-11,-17,11,10003
1890,-743,212,-9,-10,13,10003
1888,-722,197,-13,-22,2,10003
1896,-736,215,-25,-19,7,10003
1888,-742,209,-35,-18,-1,10003
1880,-736,212,-39,-13,-1,10003
1886,-739,191,-53,-4,-1,10003
1879,-739,210,-66,-14,-4,10003
1877,-749,201,-77,-3,-6,10003
1884,-744,227,-76,-12,11,10003
1881,-747,207,-71,-7,21,10003
1876,-754,196,-77,-11,20,10003
1887,-757,197,-75,-17,16,10003
1891,-750,212,-76,-5,31,10003
1885,-758,214,-76,-8,25,10003
1883,-753,212,-78,-19,23,10003
1893,-759,199,-75,-6,24,10003
1885,-756,215,-66,-13,18,10003
1873,-754,215,-58,-8,27,10003
1872,-738,202,-63,-12,27,10003
1870,-749,205,-64,-9,16,10003
1877,-754,200,-59,-16,26,10003
1887,-764,216,-43,-13,10,10003
1889,-758,207,-37,-14,11,10003
1890,-757,195,-24,-15,12,10003
1895,-759,208,-26,-13,3,10003
1893,-754,203,-22,-11,14,10003
1893,-755,219,-10,-5,12,10003
1891,-749,209,-14,-12,12,10003
1882,-755,202,-12,-9,3,10003
1883,-755,196,-11,-9,19,10003
1880,-748,197,-8,-13,17,10003
1883,-742,204,-14,-13,20,10003
1888,-740,196,-18,-15,23,10003
1882,-738,208,-27,-11,20,10003
1878,-742,208,-41,-15,21,10003
1885,-743,198,-45,-7,14,10003
1884,-742,203,-61,-13,19,10003
1877,-753,189,-53,-18,11,10003
1883,-759,204,-46,-12,21,10003
1887,-773,199,-42,-10,9,10003
1882,-768,195,-34,-18,14,10003
1882,-774,194,-13,-13,2,10003
1883,-768,207,-9,-27,24,10003
1878,-766,208,1,-15,18,10003
1879,-767,199,6,-19,25,10003
1885,-764,193,18,-18,15,10003
1892,-768,197,35,-25,31,10003
1895,-764,205,34,-21,21,10003
1882,-756,193,46,-23,28,10003
1887,-758,211,51,-21,23,10003
1887,-744,199,54,-25,23,10003
1883,-742,207,45,-21,28,10003
1883,-736,203,41,-17,19,10003
1884,-741,199,29,-17,13,10003
1886,-748,209,25,-18,16,10003
1888,-740,205,19,-17,12,10003
1891,-754,202,9,-15,7,10003
1884,-753,192,9,-16,2,10003
1878,-759,205,16,-12,8,10003
1884,-752,200,28,-19,18,10003
1874,-752,205,26,-16,5,10003
1893,-761,197,25,-17,14,10003
1880,-756,191,19,-22,12,10003
1886,-751,193,26,-11,18,10003
1883,-744,208,14,-12,2,10003
1885,-749,191,20,-16,18,10003
1889,-742,194,6,-12,6,10003
1892,-751,197,-9,-1,7,10003
1889,-757,196,-3,-16,7,10003
1890,-742,209,3,-10,7,10003
1894,-754,194,5,-22,3,10003
1895,-753,208,-2,-7,4,10003
1885,-767,207,10,-12,4,10003
1881,-755,204,7,-19,-5,10003
1881,-749,204,9,-15,3,10003
1886,-742,209,13,-3,8,10003
1875,-747,191,9,-4,3,10003
1879,-746,194,-3,-19,8,10003
1880,-740,203,3,-17,-1,10003
1884,-749,203,-9,-17,7,10003
1886,-753,200,-11,-8,1,10003
1890,-755,202,-11,-14,0,10003
1898,-758,209,-23,-1,20,10003
1889,-754,211,-11,-1,9,10003
1888,-753,189,-9,-3,6,10003
1887,-760,205,1,-7,9,10003
1880,-758,205,6,-1,10,10003
1877,-754,208,17,-8,18,10003
1874,-749,222,22,-7,26,10003
1882,-756,205,22,-11,18,10003
1879,-746,203,25,-14,22,10003
1874,-742,198,17,-11,15,10003
1882,-745,205,26,-14,13,10003
1887,-747,198,24,-4,14,10003
1894,-732,201,10,-18,14,10003
1896,-754,203,1,-19,0,10003
1885,-746,198,9,-18,1,10003
1891,-755,207,10,-11,6,10003
1892,-750,215,12,-17,-4,10003
1881,-741,202,22,-5,0,10003
1883,-751,208,13,-10,4,10003
1882,-754,202,19,-7,4,10003
1880,-746,207,19,-9,18,10003
1894,-742,197,9,-4,17,10003
1887,-744,197,8,-2,23,10003
1891,-747,216,10,-4,12,10003
1877,-743,202,5,-2,24,10003
1888,-742,208,9,-4,17,10003
1887,-745,199,8,-6,17,10003
1889,-739,201,-2,-15,9,10003
1880,-752,205,3,-7,12,10003
1883,-743,212,13,-5,13,10003
1881,-752,202,13,-8,16,10003
1883,-742,206,1,2,9,10003
1887,-756,201,2,3,13,10003
1889,-757,208,15,-6,8,10003
1886,-757,190,14,1,8,10003
1887,-749,198,12,-10,12,10003
1892,-744,204,14,0,17,10003
1891,-749,206,22,-6,14,10003
1895,-752,214,10,-10,19,10003
1889,-741,215,8,-9,6,10003
1886,-737,210,7,-7,12,10003
1884,-748,209,8,-4,11,10003
1880,-742,212,3,-3,15,10003
1879,-746,204,-1,1,24,10003
1876,-746,211,1,-1,21,10003
1886,-743,204,-4,0,21,10003
1899,-736,206,5,-4,21,10003
1892,-732,199,-13,2,17,10003
1895,-739,221,-8,4,16,10003
1885,-730,210,-23,2,18,10003
1887,-736,206,-26,-5,25,10003
1896,-733,198,-39,10,13,10003
1890,-738,205,-47,4,28,10003
1893,-744,201,-44,15,8,10003
1885,-744,208,-42,-3,4,10003
1895,-751,196,-36,3,9,10003
1895,-750,229,-49,6,-5,10003
1886,-753,205,-31,-2,-10,10003
1889,-764,211,-24,7,-6,10003
1877,-751,197,-17,-3,5,10003
1871,-759,218,-9,-2,-8,10003
1875,-764,202,5,0,-3,10003
1882,-759,205,11,2,4,10003
1881,-759,203,20,0,7,10003
1883,-747,211,10,-7,14,10003
1883,-753,203,11,-6,25,10003
1884,-745,210,4,8,17,10003
1892,-744,202,9,11,21,10003
1894,-742,206,3,-3,19,10003
1890,-744,214,-2,3,12,10003
1887,-745,210,-3,5,17,10003
1890,-738,205,-4,5,4,10003
1899,-741,207,-1,-2,22,10003
1894,-727,206,-2,4,20,10003
1890,-734,203,-1,-3,26,10003
1878,-729,205,-9,-6,23,10003
1891,-738,215,-7,9,20,10003
1890,-732,206,-18,0,9,10003
1890,-744,219,-14,-4,18,10003
1888,-736,209,-19,-5,8,10003
